"last","first","middle","TITLE","ORCID"
"Pavlović","Tomislav",NA,"national identity predicts public health support during a global pandemic",NA
"Alfano","Mark",NA,"national identity predicts public health support during a global pandemic",NA
"Gelfand","Michele","J.","national identity predicts public health support during a global pandemic",NA
"Birtel","Michèle","D.","national identity predicts public health support during a global pandemic",NA
"Cislak","Aleksandra",NA,"national identity predicts public health support during a global pandemic",NA
"Lockwood","Patricia","L.","national identity predicts public health support during a global pandemic",NA
"Abts","Koen",NA,"national identity predicts public health support during a global pandemic",NA
"Besharati","Sahba","Nomvula","national identity predicts public health support during a global pandemic",NA
"Bor","Alexander",NA,"national identity predicts public health support during a global pandemic",NA
"Choma","Becky","L.","national identity predicts public health support during a global pandemic",NA
"Crabtree","Charles","David","national identity predicts public health support during a global pandemic",NA
"De","Koustav",NA,"national identity predicts public health support during a global pandemic",NA
"Ejaz","Waqas",NA,"national identity predicts public health support during a global pandemic",NA
"Elbaek","Christian","T.","national identity predicts public health support during a global pandemic",NA
"Flichtentrei","Daniel",NA,"national identity predicts public health support during a global pandemic",NA
"Franc","Renata",NA,"national identity predicts public health support during a global pandemic",NA
"Gruber","June",NA,"national identity predicts public health support during a global pandemic",NA
"Gualda","Estrella",NA,"national identity predicts public health support during a global pandemic",NA
"Horiuchi","Yusaku",NA,"national identity predicts public health support during a global pandemic",NA
"Huynh","Toan","Luu Duc","national identity predicts public health support during a global pandemic",NA
"Ibanez","Augustin",NA,"national identity predicts public health support during a global pandemic",NA
"Imran","Mostak","Ahamed","national identity predicts public health support during a global pandemic",NA
"Israelashvili","Jacob",NA,"national identity predicts public health support during a global pandemic",NA
"Jasko","Katarzyna",NA,"national identity predicts public health support during a global pandemic",NA
"Kantorowicz","Jaroslaw",NA,"national identity predicts public health support during a global pandemic",NA
"Kantorowicz-Reznichenko","Elena",NA,"national identity predicts public health support during a global pandemic",NA
"Krouwel","André",NA,"national identity predicts public health support during a global pandemic",NA
"Laakasuo","Michael",NA,"national identity predicts public health support during a global pandemic",NA
"Leygue","Caroline",NA,"national identity predicts public health support during a global pandemic",NA
"Lin","Ming-Jen",NA,"national identity predicts public health support during a global pandemic",NA
"Mansoor","Mohammad","Sabbir","national identity predicts public health support during a global pandemic",NA
"Marie","Antoine",NA,"national identity predicts public health support during a global pandemic",NA
"Mayiwar","Lewend",NA,"national identity predicts public health support during a global pandemic",NA
"Mazepus","Honorata",NA,"national identity predicts public health support during a global pandemic",NA
"McHugh","Cillian",NA,"national identity predicts public health support during a global pandemic",NA
"Minda","John","Paul","national identity predicts public health support during a global pandemic",NA
"Mitkidis","Panagiotis",NA,"national identity predicts public health support during a global pandemic",NA
"Olsson","Andreas",NA,"national identity predicts public health support during a global pandemic",NA
"Otterbring","Tobias",NA,"national identity predicts public health support during a global pandemic",NA
"Packer","Dominic","J.","national identity predicts public health support during a global pandemic",NA
"Perry","Anat",NA,"national identity predicts public health support during a global pandemic",NA
"Petersen","Michael","Bang","national identity predicts public health support during a global pandemic",NA
"Puthillam","Arathy",NA,"national identity predicts public health support during a global pandemic",NA
"Riaño-Moreno","Julián","C.","national identity predicts public health support during a global pandemic",NA
"Rothmund","Tobias",NA,"national identity predicts public health support during a global pandemic",NA
"Santamaría-García","Hernando",NA,"national identity predicts public health support during a global pandemic",NA
"Schmid","Petra","C.","national identity predicts public health support during a global pandemic",NA
"Stoyanov","Drozdstoy",NA,"national identity predicts public health support during a global pandemic",NA
"Tewari","Shruti",NA,"national identity predicts public health support during a global pandemic",NA
"Todosijević","Bojan",NA,"national identity predicts public health support during a global pandemic",NA
"Tsakiris","Manos",NA,"national identity predicts public health support during a global pandemic",NA
"Tung","Hans","H.","national identity predicts public health support during a global pandemic",NA
"Umbreș","Radu","G.","national identity predicts public health support during a global pandemic",NA
"Vanags","Edmunds",NA,"national identity predicts public health support during a global pandemic",NA
"Vlasceanu","Madalina",NA,"national identity predicts public health support during a global pandemic",NA
"Vonasch","Andrew",NA,"national identity predicts public health support during a global pandemic",NA
"Yucel","Meltem",NA,"national identity predicts public health support during a global pandemic",NA
"Zhang","Yucheng",NA,"national identity predicts public health support during a global pandemic",NA
"Abad","Mohcine",NA,"national identity predicts public health support during a global pandemic",NA
"Adler","Eli",NA,"national identity predicts public health support during a global pandemic",NA
"Akrawi","Narin",NA,"national identity predicts public health support during a global pandemic",NA
"Mdarhri","Hamza","Alaoui","national identity predicts public health support during a global pandemic",NA
"Amara","Hanane",NA,"national identity predicts public health support during a global pandemic",NA
"Amodio","David","M.","national identity predicts public health support during a global pandemic",NA
"Apps","Matthew",NA,"national identity predicts public health support during a global pandemic",NA
"Ay","F.","Ceren","national identity predicts public health support during a global pandemic",NA
"Ba","Mouhamadou","Hady","national identity predicts public health support during a global pandemic",NA
"Barbosa","Sergio",NA,"national identity predicts public health support during a global pandemic",NA
"Bastian","Brock",NA,"national identity predicts public health support during a global pandemic",NA
"Berg","Anton",NA,"national identity predicts public health support during a global pandemic",NA
"Bernal-Zárate","Maria","P.","national identity predicts public health support during a global pandemic",NA
"Bilancini","Ennio",NA,"national identity predicts public health support during a global pandemic",NA
"Boncinelli","Leonardo",NA,"national identity predicts public health support during a global pandemic",NA
"Booth","Jonathan","E.","national identity predicts public health support during a global pandemic",NA
"Borau","Sylvie",NA,"national identity predicts public health support during a global pandemic",NA
"Buchel","Ondrej",NA,"national identity predicts public health support during a global pandemic",NA
"Cameron","C.","Daryl","national identity predicts public health support during a global pandemic",NA
"Carvalho","Chrissie","F.","national identity predicts public health support during a global pandemic",NA
"Celadin","Tatiana",NA,"national identity predicts public health support during a global pandemic",NA
"Cerami","Chiara",NA,"national identity predicts public health support during a global pandemic",NA
"Chalise","Hom","Nath","national identity predicts public health support during a global pandemic",NA
"Cheng","Xiaojun",NA,"national identity predicts public health support during a global pandemic",NA
"Cian","Luca",NA,"national identity predicts public health support during a global pandemic",NA
"Cockcroft","Kate",NA,"national identity predicts public health support during a global pandemic",NA
"Conway","Jane",NA,"national identity predicts public health support during a global pandemic",NA
"Córdoba-Delgado","Mateo","Andres","national identity predicts public health support during a global pandemic",NA
"Crespi","Chiara",NA,"national identity predicts public health support during a global pandemic",NA
"Crouzevialle","Marie",NA,"national identity predicts public health support during a global pandemic",NA
"Cutler","Jo",NA,"national identity predicts public health support during a global pandemic",NA
"Cypryańska","Marzena",NA,"national identity predicts public health support during a global pandemic",NA
"Dabrowska","Justyna",NA,"national identity predicts public health support during a global pandemic",NA
"Daniels","Michael","A.","national identity predicts public health support during a global pandemic",NA
"Davis","Victoria","H.","national identity predicts public health support during a global pandemic",NA
"Dayley","Pamala","N.","national identity predicts public health support during a global pandemic",NA
"Delouvee","Sylvain",NA,"national identity predicts public health support during a global pandemic",NA
"Denkovski","Ognjan",NA,"national identity predicts public health support during a global pandemic",NA
"Dezecache","Guillaume",NA,"national identity predicts public health support during a global pandemic",NA
"Dhaliwal","Nathan","A.","national identity predicts public health support during a global pandemic",NA
"Diato","Alelie","B.","national identity predicts public health support during a global pandemic",NA
"Di Paolo","Roberto",NA,"national identity predicts public health support during a global pandemic",NA
"Drosinou","Marianna",NA,"national identity predicts public health support during a global pandemic",NA
"Dulleck","Uwe",NA,"national identity predicts public health support during a global pandemic",NA
"Ekmanis","Jānis",NA,"national identity predicts public health support during a global pandemic",NA
"Ertan","Arhan","S.","national identity predicts public health support during a global pandemic",NA
"Etienne","Tom","W.","national identity predicts public health support during a global pandemic",NA
"Farhana","Hapsa","Hossain","national identity predicts public health support during a global pandemic",NA
"Farkhari","Fahima",NA,"national identity predicts public health support during a global pandemic",NA
