"title","author","journal","number","cites","year","cid","pubid","scholar"
"pipeline 2  preregistered bayesian analyses","F Bartoš, SW Berkhout, U Boehm, K Derks, QF Gronau, Š Kucharský, A Ly, ...","","",0,NA,NA,"17ZO-CJnx_8C","L_HG640AAAAJ"
"a many analysts approach to the relation between religiosity and well being  the dataset","S Hoogeveen, A Sarafoglou, M van Elk, EJ Wagenmakers","","",0,NA,NA,"Tfl4UtY-dJUC","L_HG640AAAAJ"
"clarification to bauer and hussong  2009 ","EJ Wagenmakers, H Wainer, N Waller, C Wang, WC Wang, W Wang","","",0,NA,NA,"e84hm74t-eoC","L_HG640AAAAJ"
"crowdsourcing hypotheses tests  methods and results of the preregistered bayesian analyses","QF Gronau, A Ly, D van den Bergh, M Marsman, K Derks, ...","","",0,NA,NA,"sbeIDTyQOFgC","L_HG640AAAAJ"
"cs peirce on the crisis of confidence and the  no more bets  heuristic  the winnower 3  e146611  14253  2016  doi  10 15200 winn  146611 14253 vandekerckhove et al","J Vandekerckhove, EJ Wagenmakers","This article is distributed under the terms of the Creative Commons …","",0,NA,NA,"3lUAU8Oskd0C","L_HG640AAAAJ"
"share on","A Adan, S Arthurs, L Baßfeld, C Berli, AL Brütt, A Clamor, A Decarli, ...","","",0,NA,NA,"PlWzFYVEG4EC","L_HG640AAAAJ"
"an evaluation of alternative methods for testing hypotheses  from","A Ly, J Verhagen, EJ Wagenmakers","","",0,NA,NA,"tz746QTLzJkC","L_HG640AAAAJ"
"replication attempt of structural brain behavior correlations","DS Schwarzkopf, R Kanai, EJ Wagenmakers, A Ly, QF Gronau, ...","","",0,NA,NA,"9NZAP19TdFAC","L_HG640AAAAJ"
"preregistered analysis plan","QF Gronau, T Beek, L Dijkhoff, EJ Wagenmakers","","",0,NA,NA,"FsLZdJ3BAzkC","L_HG640AAAAJ"
"a confirmatory test of the diffusion model explanation for the worst performance rule","G Dutilh, J Vandekerckhove, A Ly, D Matzke, J Rieskamp, ...","","",0,NA,NA,"6VlyvFCUEfcC","L_HG640AAAAJ"
"registered replication at the open science framework of the following article  mehta  r  and zhu  r  2009   blue or red  exploring the effect of color on cognitive task  ","H Steingroever, J Verhagen, EJ Wagenmakers","","",0,NA,NA,"ndLnGcHYRF0C","L_HG640AAAAJ"
"a default bayesian hypothesis test for partial correlation using the savage dickey method ","MB Nuijten, R Wetzels, D Matzke, CV Dolan, EJ Wagenmakers","","",0,NA,NA,"Vr2j17o0sqMC","L_HG640AAAAJ"
"a comprehensive overview of statistical methods to quantify evidence in favor of a point null hypothesis  alternatives to the bayes factor","EJ Wagenmakers","","",0,NA,NA,"N4u4nq0IxgcC","L_HG640AAAAJ"
"default bayes factor for testing the  in  equality of several population variances","D van den Bergh, F Dablander, A Ly, EJ Wagenmakers","","",0,NA,NA,"ymY9cBF3mdcC","L_HG640AAAAJ"
"a tutorial on bridge sampling  online supplement   why is bridge sampling called bridge sampling ","QF Gronau, A Sarafoglou, D Matzke, A Ly, U Boehm, M Marsman, ...","","",0,NA,NA,"n3vGvpFsckwC","L_HG640AAAAJ"
"the striatum facilitates decision making under time pressure","BU Forstmann, G Dutilh, S Brown, J Neumann, DY von Cramon, ...","","",0,NA,NA,"oPLKW5k6eA4C","L_HG640AAAAJ"
"research output","N Axmacher, MX Cohen, J Fell, S Haupt, M Dümpelmann, CE Elger, ...","Psychophysiology","75 (3), 227-23",0,NA,NA,"kJDgFkosVoMC","L_HG640AAAAJ"
"step by step protocol for the registered replication report of strack  martin    stepper  1988 ","EJ Wagenmakers, T Beek, L Dijkhoff","","",0,NA,NA,"-DxkuPiZhfEC","L_HG640AAAAJ"
"excerpt more information","S Lee, EJ Wagenmakers","","",0,NA,NA,"5bg8sr1QxYwC","L_HG640AAAAJ"
"validity of empirical research in psychology","D Borsboom, C Dolan, P Koele, H van der Maas, G Maris, H Vorst, ...","","",0,NA,NA,"Br1UauaknNIC","L_HG640AAAAJ"
"supplemental material for  similarity and number of alternatives in the random dot motion paradigm ","L van Maanen, RPPP Grasman, BU Forstmann, MC Keuken, SD Brown, ...","","",0,NA,NA,"nRpfm8aw39MC","L_HG640AAAAJ"
"supplemental material for  release the beests  bayesian estimation of stop signal reaction time distributions ","D Matzke, J Love, T Wiecki, SD Brown, GD Logan, EJ Wagenmakers","","",0,NA,NA,"CaZNVDsoPx4C","L_HG640AAAAJ"
"a bayesian hierarchical diffusion model decomposition of performance in approach avoidance tasks  supplementary material","AM Krypotos, T Beckers, M Kindt, EJ Wagenmakers","","",0,NA,NA,"4X0JR2_MtJMC","L_HG640AAAAJ"
"bayesian mixture modeling of significant p values  a meta analytic method to estimate the degree of contamination from h0","EJ Wagenmakers, QF Gronau, M Duizer, M Bakker","","",0,NA,NA,"BJbdYPG6LGMC","L_HG640AAAAJ"
"pre registration for  a confirmatory test of the diffusion model explanation for the worst performance rule","G Dutilh, J Vandekerckhove, A Ly, D Matzke, A Pedroni, R Frey, ...","","",0,NA,NA,"gKiMpY-AVTkC","L_HG640AAAAJ"
"adversarial collaboration agreement","D Matzke, EJ Wagenmakers, H van Rijn, S Nieuwenhuis, H Slagter, ...","","",0,NA,NA,"yqoGN6RLRZoC","L_HG640AAAAJ"
"supplemental materials for bayesian parametric estimation of stop signal reaction time distributions","D Matzke, CV Dolan, GD Logan, SD Brown, EJ Wagenmakers","","",0,NA,NA,"yMeIxYmEMEAC","L_HG640AAAAJ"
"errata to the examples section of  bayesian tests to quantify the result of a replication attempt ","J Verhagen, EJ Wagenmakers","","",0,NA,NA,"edDO8Oi4QzsC","L_HG640AAAAJ"
"errata  bayesian tests to quantify the result of a replication attempt","J Verhagen, EJ Wagenmakers","","",0,NA,NA,"ruyezt5ZtCIC","L_HG640AAAAJ"
"how to quantify the evidence for the absence of an association between loneliness and bathing habits","EJ Wagenmakers, J Verhagen, A Ly","","",0,NA,NA,"xtoqd-5pKcoC","L_HG640AAAAJ"
"eric jan wagenmakers1  josine verhagen1  alexander ly1  marjan bakker1  michael lee2  dora matzke1  jeff rouder3  richard morey4 1 university of amsterdam 2 university of  ","EJ Wagenmakers","","",0,NA,NA,"oNZyr7d5Mn4C","L_HG640AAAAJ"
"bayesian statistics  modeling   reasoning  not the official course name ","MD Lee, EJ Wagenmakers","","",0,NA,NA,"vbGhcppDl1QC","L_HG640AAAAJ"
"release the beests  bayesian estimation of stop signal reaction time distributions","D Matzke, J Love, T Wiecki, SD Brown, GD Logan, EJ Wagenmakers","","",0,NA,NA,"EkHepimYqZsC","L_HG640AAAAJ"
"http   rd  springer  com article 10 1007 s10508 012 0056 y","M Plöderl, EJ Wagenmakers, P Tremblay, R Ramsay, K Kralovec, ...","","",0,NA,NA,"uc_IGeMz5qoC","L_HG640AAAAJ"
"supplemental material for  beests  bayesian estimation of stop signal reaction time distributions ","D Matzke, J Love, T Wiecki, SD Brown, GD Logan, EJ Wagenmakers","","",0,NA,NA,"yB1At4FlUx8C","L_HG640AAAAJ"
"william k  estes indiana university","PC Fishburn, T Indow, RD Luce, P Suppes, EJ Wagenmakers, FG Ashby, ...","","",0,NA,NA,"t7zJ5fGR-2UC","L_HG640AAAAJ"
"section i  computational statistics","W Kössler, D Han, N Balakrishnan, S Ojeda, R Vallejos, O Bustos, ...","","",0,NA,NA,"z_wVstp3MssC","L_HG640AAAAJ"
"cognitive psychology","R Baillargeon, L Carlson, TH Carr, C Clifton Jr, MA Gernsbacher, ...","","",0,NA,NA,"fEOibwPWpKIC","L_HG640AAAAJ"
"246 the interactive account of ventral occipitotemporal contributions to reading 254 the unique role of the visual word form area in reading","C Eisenegger, J Haushofer, E Fehr, BU Forstmann, EJ Wagenmakers, ...","","",0,NA,NA,"35r97b3x0nAC","L_HG640AAAAJ"
"dummy text action video games do not improve the speed of information processing in simple perceptual tasks","D van Ravenzwaaij, W Boekel, BU Forstmann, R Ratcliff, ...","","",0,NA,NA,"1yQoGdGgb4wC","L_HG640AAAAJ"
"dummy text an agenda for purely confirmatory research","EJ Wagenmakers, R Wetzels, HLJ Denny Borsboom","","",0,NA,NA,"WA5NYHcadZ8C","L_HG640AAAAJ"
"dummy text cognitive model decomposition of the bart  assessment and application","D van Ravenzwaaij, G Dutilh, EJ Wagenmakers","","",0,NA,NA,"bnK-pcrLprsC","L_HG640AAAAJ"
"book review rescue the gardiner book ","RPPP Grasman, EJ Wagenmakers","","",0,NA,NA,"l7t_Zn2s7bgC","L_HG640AAAAJ"
"accompanying materials for  a diffusion model decomposition of the practice effect  a  the bayesian ratcliff diffusion model","G Dutilh, J Vandekerckhove, F Tuerlinckx, EJ Wagenmakers","","",0,NA,NA,"p2g8aNsByqUC","L_HG640AAAAJ"
"preprint of the book chapter  bayesian versus frequentist inference ","EJ Wagenmakers, M Lee, T Lodewyckx, G Iverson","","",0,NA,NA,"NhqRSupF_l8C","L_HG640AAAAJ"
"tmehotcheva teodora foreign language attrition in adult multilingual speakers ","EJ Wagenmakers, M Steyvers, JGW Raaijmakers, RM Shiffrin, H Van Rijn","Jeudi/Thursday","11, 9h15-10h 15 48 (3), 21",0,NA,NA,"D03iK_w7-QYC","L_HG640AAAAJ"
"book review ar jensen  clocking the mind  mental chronometry and individual differences  amsterdam  elsevier  2006  isbn  0 08 044939 5  pp  xi  272 ","EJ Wagenmakers, H van der Maas","","",0,NA,NA,"4OULZ7Gr8RgC","L_HG640AAAAJ"
"dummy text optimal decision making in neural inhibition models","D van Ravenzwaaij, HLJ van der Maas, EJ Wagenmakers","","",0,NA,NA,"fPk4N6BV_jEC","L_HG640AAAAJ"
"corrigendum for  a practical solution to the pervasive problems of p values   psychonomic bulletin   review  14  779 804","EJ Wagenmakers","","",0,NA,NA,"u_35RYKgDlwC","L_HG640AAAAJ"
"that wretched prior  online appendix to  a practical solution to the pervasive problems of p values   to appear in psychonomic bulletin   review","EJ Wagenmakers","","",0,NA,NA,"rO6llkc54NcC","L_HG640AAAAJ"
"observing evidence accumulation during multi alternative","S Brown, M Steyvers, EJ Wagenmakers","","",0,NA,NA,"3s1wT3WcHBgC","L_HG640AAAAJ"
"word count  6 390","EJ Wagenmakers, S Farrell, R Ratcliff","","",0,NA,NA,"SeFeTyx0c_EC","L_HG640AAAAJ"
"guidelines for tutorial articles in journal of mathematical psychology","EJ Wagenmakers","","",0,NA,NA,"2P1L_qKh6hAC","L_HG640AAAAJ"
"registered replication report  strack  martin    stepper  1988 ","EJ Wagenmakers, T Beek, L Dijkhoff, QF Gronau, A Acosta, RB Adams Jr, ...","Perspectives on psychological science","11 (6), 917-928",364,2016,"10916767154871168384","WZBGuue-350C","o1yj1TYAAAAJ"
"the time course of age related preferences toward positive and negative stimuli","DM Isaacowitz, ES Allard, NA Murphy, M Schlangel","Journals of Gerontology: Series B","64 (2), 188-192",163,2009,"13157724554896572788","u5HHmVD_uO8C","o1yj1TYAAAAJ"
"are preferences in emotional processing affected by distraction  examining the age related positivity effect in visual fixation within a dual task paradigm","ES Allard, DM Isaacowitz","Aging, Neuropsychology, and Cognition","15 (6), 725-743",98,2008,"15207081216049388415","u-x6o8ySG0sC","o1yj1TYAAAAJ"
"positive gaze preferences in older adults  assessing the role of cognitive effort with pupil dilation","ES Allard, HA Wadlinger, DM Isaacowitz","Aging, Neuropsychology, and Cognition","17 (3), 296-311",74,2010,"15483817593369572817","d1gkVwhDpl0C","o1yj1TYAAAAJ"
"age related differences in neural recruitment during the use of cognitive reappraisal and selective attention as emotion regulation strategies","ES Allard, EA Kensinger","Frontiers in psychology","5, 296",55,2014,"13414558525377879599","WF5omc3nYNoC","o1yj1TYAAAAJ"
"age related differences in functional connectivity during cognitive emotion regulation","ES Allard, EA Kensinger","Journals of Gerontology Series B: Psychological Sciences and Social Sciences …","",44,2014,"691999836984899792","ufrVoPGSRksC","o1yj1TYAAAAJ"
"cognitive emotion regulation in adulthood and old age  positive gaze preferences across two strategies","ES Allard, EA Kensinger","Aging, Neuropsychology, and Cognition","25 (2), 213-230",35,2018,"16418789935578955433","gsN89kCJA0AC","o1yj1TYAAAAJ"
"can t look away  attention control deficits predict rumination  depression symptoms and depressive affect in daily life","I Yaroslavsky, ES Allard, A Sanchez-Lopez","Journal of Affective Disorders","245, 1061-1069",30,2019,"2416947876805100876","tuHXwOkdijsC","o1yj1TYAAAAJ"
"cleveland state university","ES Allard","United States","",16,NA,"11422311997531924246","LI9QrySNdTsC","o1yj1TYAAAAJ"
"the influence of motivational priority on younger and older adults  positive gaze preferences","ES Allard, DM Isaacowitz","Aging, Neuropsychology, and Cognition","26 (6), 882-903",6,2019,"9405878843147320530","MLfJN-KU85MC","o1yj1TYAAAAJ"
"attentional disengagement deficits predict brooding  but not reflection  over a one year period","ES Allard, I Yaroslavsky","Frontiers in Psychology","2282",6,2019,"12551832536075024880","oNZyr7d5Mn4C","o1yj1TYAAAAJ"
"emotion in aging and bipolar disorder  similarities  differences  and lessons for further research","DM Isaacowitz, A Gershon, ES Allard, SL Johnson","Emotion Review","5 (3), 312-320",6,2013,"1466823605077422252","qjMakFHDy7sC","o1yj1TYAAAAJ"
"words matter  age related positivity in episodic memory for abstract but not concrete words","LJ Hamilton, ES Allard","Aging, Neuropsychology, and Cognition","27 (4), 595-616",5,2020,"11934188474787922497","kz9GbA2Ns4gC","o1yj1TYAAAAJ"
"age similarities in matching pro and contra hedonic emotional strategies to everyday scenarios","ES Allard, JT Stanley, JR Turner, AK Harrington","Aging, Neuropsychology, and Cognition","28 (2), 161-183",3,2021,"10610484235254547282","S16KYo8Pm5AC","o1yj1TYAAAAJ"
"age differences in reappraisal of negative autobiographical memories","LJ Hamilton, ES Allard","Experimental aging research","47 (2), 165-182",2,2021,"6276339661324401941","Dip1O2bNi0gC","o1yj1TYAAAAJ"
"a discrete emotions perspective to negative autobiographical recall among younger and older adults","ES Allard, LJ Hamilton","Experimental Aging Research","45 (5), 460-468",2,2019,"12736411331150862476","M7yex6snE4oC","o1yj1TYAAAAJ"
"the age related positivity effect and emotion regulation  assessing downstream affective outcomes","JBC Chukwuorji, ES Allard","The International Journal of Aging and Human Development","00914150221077954",1,2022,"15938041351125756035","HbR8gkJAVGIC","o1yj1TYAAAAJ"
"the influence of cognitive control effort on age related positivity effects in visual fixation","ES Allard","Brandeis University","",1,2010,"14214261546779754904","eQOLeE2rZwMC","o1yj1TYAAAAJ"
"attentional tendencies that impact emotion regulation success within a borderline personality disorder framework","CK Horner, ES Allard","Journal of Personality Disorders","35 (6), 936-949",0,2021,NA,"xtoqd-5pKcoC","o1yj1TYAAAAJ"
"age similarity in emotion perception based on eye gaze manipulation","Y Abualula, E Allard","Innovation in Aging","4 (Suppl 1), 455",0,2020,NA,"PoWvk5oyLR8C","o1yj1TYAAAAJ"
"mediating role of trait mindfulness on the relationships between age and both depressive and anxiety symptomology","S Howard, E Allard","Innovation in Aging","4 (Suppl 1), 371",0,2020,NA,"SpbeaW3--B0C","o1yj1TYAAAAJ"
"older and younger adults reappraise negative life events in different ways","L Hamilton, E Allard","Innovation in Aging","4 (Supplement_1), 893-894",0,2020,NA,"i2xiXl-TujoC","o1yj1TYAAAAJ"
"investigating how the aging body impacts emotion cognition across adulthood","L Hamilton, E Allard","Innovation in Aging","2 (Suppl 1), 111",0,2018,NA,"k8Z6L05lTy4C","o1yj1TYAAAAJ"
"linking aging and affect  the mediating role of cognitive reappraisal","SN Sedall, ES Allard","GERONTOLOGIST","55, 442-442",0,2015,NA,"TIZ-Mc8IlK0C","o1yj1TYAAAAJ"
"preferences in visual fixation and effective emotion regulation in adulthood and old age","ES Allard, EA Kensinger","GERONTOLOGIST","51, 281-281",0,2011,NA,"Y0pCki6q_DkC","o1yj1TYAAAAJ"
"motivational priority and cognitive control effort  moderators of older adults positivity in gaze ","ES Allard, D Isaacowitz","GERONTOLOGIST","50, 114-114",0,2010,NA,"Tyk-4Ss8FVUC","o1yj1TYAAAAJ"
"the effects of graded cognitive control load on age related positivity effects in gaze","ES Allard, D Isaacowitz","GERONTOLOGIST","49, 31-31",0,2009,NA,"W7OEmFMy1HYC","o1yj1TYAAAAJ"
"positive emotional functioning in older adults  what is the role of cognitive control ","E Allard, H Wadlinger, D Isaacowitz","GERONTOLOGIST","48, 267-267",0,2008,NA,"IjCSPb-OGe4C","o1yj1TYAAAAJ"
"scientific progress depends on the generosity of reviewers who assist editors by sharing their time and expertise in the peer review process  bob g  knight  phd  editor of the  ","L Abrams, R Andel, N Anderson, M Ardelt, P Bailey, J Beadle, P Belchior, ...","","",0,NA,NA,"VaXvl8Fpj5cC","o1yj1TYAAAAJ"
"index of participants","I Aban, K Abbott, P Abbott, K Abrahamson, A Abrams, A Achenbaum, ...","","",0,NA,NA,"b1wdh0AR-JQC","o1yj1TYAAAAJ"
"emotion regulation and cognitive control","A Christen, A Holland, P Koval, YK Koerkamp, E Miendlarzewska, ...","","",0,NA,NA,"UeHWp8X0CEIC","o1yj1TYAAAAJ"
"bayesian inference for psychology  part ii  example applications with jasp","EJ Wagenmakers, J Love, M Marsman, T Jamil, A Ly, J Verhagen, ...","Psychonomic bulletin & review","25 (1), 58-76",1101,2018,"12451532625544174767","r0BpntZqJG4C","olh5ABYAAAAJ"
"bayesian inference for psychology  part i  theoretical advantages and practical ramifications","EJ Wagenmakers, M Marsman, T Jamil, A Ly, J Verhagen, J Love, ...","Psychonomic bulletin & review","25 (1), 35-57",930,2018,"1501690471994725010","8k81kl-MbHgC","olh5ABYAAAAJ"
"registered replication report  strack  martin    stepper  1988 ","EJ Wagenmakers, T Beek, L Dijkhoff, QF Gronau, A Acosta, RB Adams Jr, ...","Perspectives on psychological science","11 (6), 917-928",364,2016,"10916767154871168384","9yKSN-GCB0IC","olh5ABYAAAAJ"
"the jasp guidelines for conducting and reporting a bayesian analysis","J van Doorn, D van den Bergh, U Böhm, F Dablander, K Derks, T Draws, ...","Psychonomic Bulletin & Review","28 (3), 813-826",291,2021,"3926924895708232717","RHpTSmoSYBkC","olh5ABYAAAAJ"
"jasp  graphical statistical software for common statistical designs","J Love, R Selker, M Marsman, T Jamil, D Dropmann, J Verhagen, A Ly, ...","Journal of Statistical Software","88, 1-17",227,2019,"14154185618906901939","4JMBOYKVnBMC","olh5ABYAAAAJ"
"a tutorial on bridge sampling","QF Gronau, A Sarafoglou, D Matzke, A Ly, U Boehm, M Marsman, ...","Journal of mathematical psychology","81, 80-97",185,2017,"6297307403553822158","eQOLeE2rZwMC","olh5ABYAAAAJ"
"meta analyses are no substitute for registered replications  a skeptical perspective on religious priming","M Van Elk, D Matzke, Q Gronau, M Guang, J Vandekerckhove, ...","Frontiers in psychology","1365",143,2015,"5861039987088140021","u5HHmVD_uO8C","olh5ABYAAAAJ"
"bridgesampling  an r package for estimating normalizing constants","QF Gronau, H Singmann, EJ Wagenmakers","Journal of Statistical Software","92 (10)",134,2020,"4337310259968397938","_kc_bZDykSQC","olh5ABYAAAAJ"
